"ICD10CM","PHECODE","Exl. Phecodes","Excl. Phenotypes"
"S62.346S",804,"800-809.99","Fractures"
"S62.347",804,"800-809.99","Fractures"
"S62.347A",804,"800-809.99","Fractures"
"S62.347B",804,"800-809.99","Fractures"
"S62.347D",804,"800-809.99","Fractures"
"S62.347G",804,"800-809.99","Fractures"
"S62.347K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.347K",804,"800-809.99","Fractures"
"S62.347P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.347P",804,"800-809.99","Fractures"
"S62.347S",804,"800-809.99","Fractures"
"S62.348",804,"800-809.99","Fractures"
"S62.348A",804,"800-809.99","Fractures"
"S62.348B",804,"800-809.99","Fractures"
"S62.348D",804,"800-809.99","Fractures"
"S62.348G",804,"800-809.99","Fractures"
"S62.348K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.348K",804,"800-809.99","Fractures"
"S62.348P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.348P",804,"800-809.99","Fractures"
"S62.348S",804,"800-809.99","Fractures"
"S62.349",804,"800-809.99","Fractures"
"S62.349A",804,"800-809.99","Fractures"
"S62.349B",804,"800-809.99","Fractures"
"S62.349D",804,"800-809.99","Fractures"
"S62.349G",804,"800-809.99","Fractures"
"S62.349K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.349K",804,"800-809.99","Fractures"
"S62.349P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.349P",804,"800-809.99","Fractures"
"S62.349S",804,"800-809.99","Fractures"
"S62.35",804,"800-809.99","Fractures"
"S62.350",804,"800-809.99","Fractures"
"S62.350A",804,"800-809.99","Fractures"
"S62.350B",804,"800-809.99","Fractures"
"S62.350D",804,"800-809.99","Fractures"
"S62.350G",804,"800-809.99","Fractures"
"S62.350K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.350K",804,"800-809.99","Fractures"
"S62.350P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.350P",804,"800-809.99","Fractures"
"S62.350S",804,"800-809.99","Fractures"
"S62.351",804,"800-809.99","Fractures"
"S62.351A",804,"800-809.99","Fractures"
"S62.351B",804,"800-809.99","Fractures"
"S62.351D",804,"800-809.99","Fractures"
"S62.351G",804,"800-809.99","Fractures"
"S62.351K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.351K",804,"800-809.99","Fractures"
"S62.351P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.351P",804,"800-809.99","Fractures"
"S62.351S",804,"800-809.99","Fractures"
"S62.352",804,"800-809.99","Fractures"
"S62.352A",804,"800-809.99","Fractures"
"S62.352B",804,"800-809.99","Fractures"
"S62.352D",804,"800-809.99","Fractures"
"S62.352G",804,"800-809.99","Fractures"
"S62.352K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.352K",804,"800-809.99","Fractures"
"S62.352P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.352P",804,"800-809.99","Fractures"
"S62.352S",804,"800-809.99","Fractures"
"S62.353",804,"800-809.99","Fractures"
"S62.353A",804,"800-809.99","Fractures"
"S62.353B",804,"800-809.99","Fractures"
"S62.353D",804,"800-809.99","Fractures"
"S62.353G",804,"800-809.99","Fractures"
"S62.353K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.353K",804,"800-809.99","Fractures"
"S62.353P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.353P",804,"800-809.99","Fractures"
"S62.353S",804,"800-809.99","Fractures"
"S62.354",804,"800-809.99","Fractures"
"S62.354A",804,"800-809.99","Fractures"
"S62.354B",804,"800-809.99","Fractures"
"S62.354D",804,"800-809.99","Fractures"
"S62.354G",804,"800-809.99","Fractures"
"S62.354K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.354K",804,"800-809.99","Fractures"
"S62.354P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.354P",804,"800-809.99","Fractures"
"S62.354S",804,"800-809.99","Fractures"
"S62.355",804,"800-809.99","Fractures"
"S62.355A",804,"800-809.99","Fractures"
"S62.355B",804,"800-809.99","Fractures"
"S62.355D",804,"800-809.99","Fractures"
"S62.355G",804,"800-809.99","Fractures"
"S62.355K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.355K",804,"800-809.99","Fractures"
"S62.355P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.355P",804,"800-809.99","Fractures"
"S62.355S",804,"800-809.99","Fractures"
"S62.356",804,"800-809.99","Fractures"
"S62.356A",804,"800-809.99","Fractures"
"S62.356B",804,"800-809.99","Fractures"
"S62.356D",804,"800-809.99","Fractures"
"S62.356G",804,"800-809.99","Fractures"
"S62.356K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.356K",804,"800-809.99","Fractures"
"S62.356P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.356P",804,"800-809.99","Fractures"
"S62.356S",804,"800-809.99","Fractures"
"S62.357",804,"800-809.99","Fractures"
"S62.357A",804,"800-809.99","Fractures"
"S62.357B",804,"800-809.99","Fractures"
"S62.357D",804,"800-809.99","Fractures"
"S62.357G",804,"800-809.99","Fractures"
"S62.357K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.357K",804,"800-809.99","Fractures"
"S62.357P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.357P",804,"800-809.99","Fractures"
"S62.357S",804,"800-809.99","Fractures"
"S62.358",804,"800-809.99","Fractures"
"S62.358A",804,"800-809.99","Fractures"
"S62.358B",804,"800-809.99","Fractures"
"S62.358D",804,"800-809.99","Fractures"
"S62.358G",804,"800-809.99","Fractures"
"S62.358K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.358K",804,"800-809.99","Fractures"
"S62.358P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.358P",804,"800-809.99","Fractures"
"S62.358S",804,"800-809.99","Fractures"
"S62.359",804,"800-809.99","Fractures"
"S62.359A",804,"800-809.99","Fractures"
"S62.359B",804,"800-809.99","Fractures"
"S62.359D",804,"800-809.99","Fractures"
"S62.359G",804,"800-809.99","Fractures"
"S62.359K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.359K",804,"800-809.99","Fractures"
"S62.359P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.359P",804,"800-809.99","Fractures"
"S62.359S",804,"800-809.99","Fractures"
"S62.36",804,"800-809.99","Fractures"
"S62.360",804,"800-809.99","Fractures"
"S62.360A",804,"800-809.99","Fractures"
"S62.360B",804,"800-809.99","Fractures"
"S62.360D",804,"800-809.99","Fractures"
"S62.360G",804,"800-809.99","Fractures"
"S62.360K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.360K",804,"800-809.99","Fractures"
"S62.360P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.360P",804,"800-809.99","Fractures"
"S62.360S",804,"800-809.99","Fractures"
"S62.361",804,"800-809.99","Fractures"
"S62.361A",804,"800-809.99","Fractures"
"S62.361B",804,"800-809.99","Fractures"
"S62.361D",804,"800-809.99","Fractures"
"S62.361G",804,"800-809.99","Fractures"
"S62.361K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.361K",804,"800-809.99","Fractures"
"S62.361P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.361P",804,"800-809.99","Fractures"
"S62.361S",804,"800-809.99","Fractures"
"S62.362",804,"800-809.99","Fractures"
"S62.362A",804,"800-809.99","Fractures"
"S62.362B",804,"800-809.99","Fractures"
"S62.362D",804,"800-809.99","Fractures"
"S62.362G",804,"800-809.99","Fractures"
"S62.362K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.362K",804,"800-809.99","Fractures"
"S62.362P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.362P",804,"800-809.99","Fractures"
"S62.362S",804,"800-809.99","Fractures"
"S62.363",804,"800-809.99","Fractures"
"S62.363A",804,"800-809.99","Fractures"
"S62.363B",804,"800-809.99","Fractures"
"S62.363D",804,"800-809.99","Fractures"
"S62.363G",804,"800-809.99","Fractures"
"S62.363K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.363K",804,"800-809.99","Fractures"
"S62.363P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.363P",804,"800-809.99","Fractures"
"S62.363S",804,"800-809.99","Fractures"
"S62.364",804,"800-809.99","Fractures"
"S62.364A",804,"800-809.99","Fractures"
"S62.364B",804,"800-809.99","Fractures"
"S62.364D",804,"800-809.99","Fractures"
"S62.364G",804,"800-809.99","Fractures"
"S62.364K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.364K",804,"800-809.99","Fractures"
"S62.364P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.364P",804,"800-809.99","Fractures"
"S62.364S",804,"800-809.99","Fractures"
"S62.365",804,"800-809.99","Fractures"
"S62.365A",804,"800-809.99","Fractures"
"S62.365B",804,"800-809.99","Fractures"
"S62.365D",804,"800-809.99","Fractures"
"S62.365G",804,"800-809.99","Fractures"
"S62.365K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.365K",804,"800-809.99","Fractures"
"S62.365P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.365P",804,"800-809.99","Fractures"
"S62.365S",804,"800-809.99","Fractures"
"S62.366",804,"800-809.99","Fractures"
"S62.366A",804,"800-809.99","Fractures"
"S62.366B",804,"800-809.99","Fractures"
"S62.366D",804,"800-809.99","Fractures"
"S62.366G",804,"800-809.99","Fractures"
"S62.366K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.366K",804,"800-809.99","Fractures"
"S62.366P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.366P",804,"800-809.99","Fractures"
"S62.366S",804,"800-809.99","Fractures"
"S62.367",804,"800-809.99","Fractures"
"S62.367A",804,"800-809.99","Fractures"
"S62.367B",804,"800-809.99","Fractures"
"S62.367D",804,"800-809.99","Fractures"
"S62.367G",804,"800-809.99","Fractures"
"S62.367K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.367K",804,"800-809.99","Fractures"
"S62.367P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.367P",804,"800-809.99","Fractures"
"S62.367S",804,"800-809.99","Fractures"
"S62.368",804,"800-809.99","Fractures"
"S62.368A",804,"800-809.99","Fractures"
"S62.368B",804,"800-809.99","Fractures"
"S62.368D",804,"800-809.99","Fractures"
"S62.368G",804,"800-809.99","Fractures"
"S62.368K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.368K",804,"800-809.99","Fractures"
"S62.368P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.368P",804,"800-809.99","Fractures"
"S62.368S",804,"800-809.99","Fractures"
"S62.369",804,"800-809.99","Fractures"
"S62.369A",804,"800-809.99","Fractures"
"S62.369B",804,"800-809.99","Fractures"
"S62.369D",804,"800-809.99","Fractures"
"S62.369G",804,"800-809.99","Fractures"
"S62.369K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.369K",804,"800-809.99","Fractures"
"S62.369P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.369P",804,"800-809.99","Fractures"
"S62.369S",804,"800-809.99","Fractures"
"S62.39",804,"800-809.99","Fractures"
"S62.390",804,"800-809.99","Fractures"
"S62.390A",804,"800-809.99","Fractures"
"S62.390B",804,"800-809.99","Fractures"
"S62.390D",804,"800-809.99","Fractures"
"S62.390G",804,"800-809.99","Fractures"
"S62.390K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.390K",804,"800-809.99","Fractures"
"S62.390P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.390P",804,"800-809.99","Fractures"
"S62.390S",804,"800-809.99","Fractures"
"S62.391",804,"800-809.99","Fractures"
"S62.391A",804,"800-809.99","Fractures"
"S62.391B",804,"800-809.99","Fractures"
"S62.391D",804,"800-809.99","Fractures"
"S62.391G",804,"800-809.99","Fractures"
"S62.391K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.391K",804,"800-809.99","Fractures"
"S62.391P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.391P",804,"800-809.99","Fractures"
"S62.391S",804,"800-809.99","Fractures"
"S62.392",804,"800-809.99","Fractures"
"S62.392A",804,"800-809.99","Fractures"
"S62.392B",804,"800-809.99","Fractures"
"S62.392D",804,"800-809.99","Fractures"
"S62.392G",804,"800-809.99","Fractures"
"S62.392K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.392K",804,"800-809.99","Fractures"
"S62.392P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.392P",804,"800-809.99","Fractures"
"S62.392S",804,"800-809.99","Fractures"
"S62.393",804,"800-809.99","Fractures"
"S62.393A",804,"800-809.99","Fractures"
"S62.393B",804,"800-809.99","Fractures"
"S62.393D",804,"800-809.99","Fractures"
"S62.393G",804,"800-809.99","Fractures"
"S62.393K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.393K",804,"800-809.99","Fractures"
"S62.393P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.393P",804,"800-809.99","Fractures"
"S62.393S",804,"800-809.99","Fractures"
"S62.394",804,"800-809.99","Fractures"
"S62.394A",804,"800-809.99","Fractures"
"S62.394B",804,"800-809.99","Fractures"
"S62.394D",804,"800-809.99","Fractures"
"S62.394G",804,"800-809.99","Fractures"
"S62.394K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.394K",804,"800-809.99","Fractures"
"S62.394P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.394P",804,"800-809.99","Fractures"
"S62.394S",804,"800-809.99","Fractures"
"S62.395",804,"800-809.99","Fractures"
"S62.395A",804,"800-809.99","Fractures"
"S62.395B",804,"800-809.99","Fractures"
"S62.395D",804,"800-809.99","Fractures"
"S62.395G",804,"800-809.99","Fractures"
"S62.395K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.395K",804,"800-809.99","Fractures"
"S62.395P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.395P",804,"800-809.99","Fractures"
"S62.395S",804,"800-809.99","Fractures"
"S62.396",804,"800-809.99","Fractures"
"S62.396A",804,"800-809.99","Fractures"
"S62.396B",804,"800-809.99","Fractures"
"S62.396D",804,"800-809.99","Fractures"
"S62.396G",804,"800-809.99","Fractures"
"S62.396K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.396K",804,"800-809.99","Fractures"
"S62.396P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.396P",804,"800-809.99","Fractures"
"S62.396S",804,"800-809.99","Fractures"
"S62.397",804,"800-809.99","Fractures"
"S62.397A",804,"800-809.99","Fractures"
"S62.397B",804,"800-809.99","Fractures"
"S62.397D",804,"800-809.99","Fractures"
"S62.397G",804,"800-809.99","Fractures"
"S62.397K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.397K",804,"800-809.99","Fractures"
"S62.397P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.397P",804,"800-809.99","Fractures"
"S62.397S",804,"800-809.99","Fractures"
"S62.398",804,"800-809.99","Fractures"
"S62.398A",804,"800-809.99","Fractures"
"S62.398B",804,"800-809.99","Fractures"
"S62.398D",804,"800-809.99","Fractures"
"S62.398G",804,"800-809.99","Fractures"
"S62.398K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.398K",804,"800-809.99","Fractures"
"S62.398P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.398P",804,"800-809.99","Fractures"
"S62.398S",804,"800-809.99","Fractures"
"S62.399",804,"800-809.99","Fractures"
"S62.399A",804,"800-809.99","Fractures"
"S62.399B",804,"800-809.99","Fractures"
"S62.399D",804,"800-809.99","Fractures"
"S62.399G",804,"800-809.99","Fractures"
"S62.399K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.399K",804,"800-809.99","Fractures"
"S62.399P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.399P",804,"800-809.99","Fractures"
"S62.399S",804,"800-809.99","Fractures"
"S62.5",804,"800-809.99","Fractures"
"S62.50",804,"800-809.99","Fractures"
"S62.501",804,"800-809.99","Fractures"
"S62.501A",804,"800-809.99","Fractures"
"S62.501B",804,"800-809.99","Fractures"
"S62.501D",804,"800-809.99","Fractures"
"S62.501G",804,"800-809.99","Fractures"
"S62.501K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.501K",804,"800-809.99","Fractures"
"S62.501P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.501P",804,"800-809.99","Fractures"
"S62.501S",804,"800-809.99","Fractures"
"S62.502",804,"800-809.99","Fractures"
"S62.502A",804,"800-809.99","Fractures"
"S62.502B",804,"800-809.99","Fractures"
"S62.502D",804,"800-809.99","Fractures"
"S62.502G",804,"800-809.99","Fractures"
"S62.502K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.502K",804,"800-809.99","Fractures"
"S62.502P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.502P",804,"800-809.99","Fractures"
"S62.502S",804,"800-809.99","Fractures"
"S62.509",804,"800-809.99","Fractures"
"S62.509A",804,"800-809.99","Fractures"
"S62.509B",804,"800-809.99","Fractures"
"S62.509D",804,"800-809.99","Fractures"
"S62.509G",804,"800-809.99","Fractures"
"S62.509K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.509K",804,"800-809.99","Fractures"
"S62.509P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.509P",804,"800-809.99","Fractures"
"S62.509S",804,"800-809.99","Fractures"
"S62.51",804,"800-809.99","Fractures"
"S62.511",804,"800-809.99","Fractures"
"S62.511A",804,"800-809.99","Fractures"
"S62.511B",804,"800-809.99","Fractures"
"S62.511D",804,"800-809.99","Fractures"
"S62.511G",804,"800-809.99","Fractures"
"S62.511K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.511K",804,"800-809.99","Fractures"
"S62.511P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.511P",804,"800-809.99","Fractures"
"S62.511S",804,"800-809.99","Fractures"
"S62.512",804,"800-809.99","Fractures"
"S62.512A",804,"800-809.99","Fractures"
"S62.512B",804,"800-809.99","Fractures"
"S62.512D",804,"800-809.99","Fractures"
"S62.512G",804,"800-809.99","Fractures"
"S62.512K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.512K",804,"800-809.99","Fractures"
"S62.512P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.512P",804,"800-809.99","Fractures"
"S62.512S",804,"800-809.99","Fractures"
"S62.513",804,"800-809.99","Fractures"
"S62.513A",804,"800-809.99","Fractures"
"S62.513B",804,"800-809.99","Fractures"
"S62.513D",804,"800-809.99","Fractures"
"S62.513G",804,"800-809.99","Fractures"
"S62.513K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.513K",804,"800-809.99","Fractures"
"S62.513P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.513P",804,"800-809.99","Fractures"
"S62.513S",804,"800-809.99","Fractures"
"S62.514",804,"800-809.99","Fractures"
"S62.514A",804,"800-809.99","Fractures"
"S62.514B",804,"800-809.99","Fractures"
"S62.514D",804,"800-809.99","Fractures"
"S62.514G",804,"800-809.99","Fractures"
"S62.514K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.514K",804,"800-809.99","Fractures"
"S62.514P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.514P",804,"800-809.99","Fractures"
"S62.514S",804,"800-809.99","Fractures"
"S62.515",804,"800-809.99","Fractures"
"S62.515A",804,"800-809.99","Fractures"
"S62.515B",804,"800-809.99","Fractures"
"S62.515D",804,"800-809.99","Fractures"
"S62.515G",804,"800-809.99","Fractures"
"S62.515K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.515K",804,"800-809.99","Fractures"
"S62.515P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.515P",804,"800-809.99","Fractures"
"S62.515S",804,"800-809.99","Fractures"
"S62.516",804,"800-809.99","Fractures"
"S62.516A",804,"800-809.99","Fractures"
"S62.516B",804,"800-809.99","Fractures"
"S62.516D",804,"800-809.99","Fractures"
"S62.516G",804,"800-809.99","Fractures"
"S62.516K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.516K",804,"800-809.99","Fractures"
"S62.516P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.516P",804,"800-809.99","Fractures"
"S62.516S",804,"800-809.99","Fractures"
"S62.52",804,"800-809.99","Fractures"
"S62.521",804,"800-809.99","Fractures"
"S62.521A",804,"800-809.99","Fractures"
"S62.521B",804,"800-809.99","Fractures"
"S62.521D",804,"800-809.99","Fractures"
"S62.521G",804,"800-809.99","Fractures"
"S62.521K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.521K",804,"800-809.99","Fractures"
"S62.521P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"S62.521P",804,"800-809.99","Fractures"
"S62.521S",804,"800-809.99","Fractures"
"S62.522",804,"800-809.99","Fractures"
"S62.522A",804,"800-809.99","Fractures"
"S62.522B",804,"800-809.99","Fractures"
"S62.522D",804,"800-809.99","Fractures"
"S62.522G",804,"800-809.99","Fractures"
