"ICD10CM","PHECODE","Exl. Phecodes","Excl. Phenotypes"
"A42","041","010-041.99","bacterial infection"
"A42.0",480.1,"480-488.99","Pneumonia and influenza"
"A42.1","041","010-041.99","bacterial infection"
"A42.2","041","010-041.99","bacterial infection"
"A42.7",994.2,"994-994.99","Sepsis and SIRS"
"A42.7","038","010-041.99","bacterial infection"
"A42.8","041","010-041.99","bacterial infection"
"A42.81","041","010-041.99","bacterial infection"
"A42.82","041","010-041.99","bacterial infection"
"A42.89","041","010-041.99","bacterial infection"
"A42.9","041","010-041.99","bacterial infection"
"A43.0",480.1,"480-488.99","Pneumonia and influenza"
"A43.1",686,"680-686.99","Skin and subcutaneous tissue infections"
"A43.8","041","010-041.99","bacterial infection"
"A43.9","041","010-041.99","bacterial infection"
"A44",133,"130-136.99","Other infections; including parasitic"
"A44.0",133,"130-136.99","Other infections; including parasitic"
"A44.1",133,"130-136.99","Other infections; including parasitic"
"A44.8",133,"130-136.99","Other infections; including parasitic"
"A44.9",133,"130-136.99","Other infections; including parasitic"
"A46",686,"680-686.99","Skin and subcutaneous tissue infections"
"A48.0","041","010-041.99","bacterial infection"
"A48.1",480.1,"480-488.99","Pneumonia and influenza"
"A48.2","041","010-041.99","bacterial infection"
"A48.3","041","010-041.99","bacterial infection"
"A48.4","041","010-041.99","bacterial infection"
"A48.51",657,"657-657.99","Infections specific to the perinatal period"
"A48.52","041","010-041.99","bacterial infection"
"A48.8","041","010-041.99","bacterial infection"
"A49","041","010-041.99","bacterial infection"
"A49.0","041.1","010-041.99","bacterial infection"
"A49.01","041.11","010-041.99","bacterial infection"
"A49.02","041.12","010-041.99","bacterial infection"
"A49.1","041.2","010-041.99","bacterial infection"
"A49.2","041","010-041.99","bacterial infection"
"A49.3","041","010-041.99","bacterial infection"
"A49.8","041","010-041.99","bacterial infection"
"A49.9","041","010-041.99","bacterial infection"
"A50","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.0","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.01","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.02","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.03","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.04","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.05","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.06","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.07","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.08","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.09","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.1","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.2","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.3","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.30","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.31","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.32","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.39","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.4","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.40","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.41","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.42","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.43","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.44","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.45","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
